t,Fx,Fy,Fz,Tx,Ty,Tz
1788794210.448817,-0.00165,0.0209,-0.55003,-0.00021,-0.00025,0.00033
1788794210.469252,-0.00031,0.02012,-0.54564,-0.00018,-0.00015,0.00023
1788794210.489619,0.00385,0.0182,-0.55225,-0.00029,-0.00035,0.00023
1788794210.508924,-0.00271,0.01691,-0.55578,-0.00019,-0.0004,0.00019
1788794210.529267,4e-05,0.01826,-0.57342,-0.00024,-0.00028,0.00042
1788794210.549218,-0.00238,0.01937,-0.54531,-0.00044,-0.00026,0.00041
1788794210.569761,0.00194,0.01794,-0.56378,-0.00016,-0.00033,0.00038
1788794210.588959,0.00168,0.02454,-0.54924,-0.00033,-0.00036,0.00026
1788794210.609160,-0.00092,0.02088,-0.53349,-0.00016,-0.00028,-2e-05
1788794210.630436,0.00159,0.01772,-0.53133,-0.00017,-0.00039,-3e-05
1788794210.649146,-0.00013,0.0157,-0.54132,-0.00025,-0.00029,0.00017
1788794210.669107,-0.00459,0.01098,-0.52579,2e-05,-0.00042,2e-05
1788794210.688851,-0.00195,0.01054,-0.53744,-1e-05,-0.00048,5e-05
1788794210.709594,-0.00096,0.01333,-0.55146,-9e-05,-0.00047,0.0002
1788794210.729087,-0.00355,0.01462,-0.55274,1e-05,-0.00032,0.00014
1788794210.749307,-0.00279,0.00739,-0.5553,-5e-05,-0.00032,0.00013
1788794210.769205,-0.00411,0.0137,-0.58284,-2e-05,-0.00034,0.00037
1788794210.788943,-0.00227,0.01582,-0.5592,-0.00017,-0.00028,0.00023
1788794210.809450,-0.00082,0.02025,-0.56586,-0.00012,-0.00024,0.00016
1788794210.829624,-0.00228,0.01954,-0.56895,-7e-05,-2e-05,0.00015
1788794210.849579,-0.00146,0.01444,-0.55644,-0.0002,-0.00039,-5e-05
1788794210.869078,0.00281,0.01923,-0.57431,-0.00025,-0.0004,0.00014
1788794210.888922,-0.0006,0.01978,-0.587,-0.0003,-0.00026,0.0002
1788794210.909550,0.00124,0.02348,-0.57806,0.0,-0.00011,3e-05
1788794210.928843,-0.00486,0.0212,-0.59604,8e-05,-0.00014,0.00017
1788794210.949162,-0.00218,0.01738,-0.58295,-0.00012,-0.00025,9e-05
1788794210.969035,-0.00235,0.01999,-0.58618,-0.00012,-0.00013,9e-05
1788794210.989472,-0.00329,0.02425,-0.56613,-0.00047,-0.00027,0.00011
1788794211.009147,-4e-05,0.02073,-0.57557,-0.00023,-0.00031,7e-05
1788794211.029218,0.00214,0.0184,-0.58086,-0.00024,-0.00047,8e-05
1788794211.049409,-0.00308,0.02166,-0.57031,-0.00025,-0.00031,2e-05
1788794211.069114,-0.00327,0.02101,-0.58387,-0.00027,-0.0004,-4e-05
1788794211.089041,-0.00194,0.02083,-0.60224,-0.00021,-0.00036,0.00014
1788794211.109133,0.00198,0.01865,-0.59667,-8e-05,-0.00041,-1e-05
1788794211.129103,0.00087,0.02155,-0.59833,-0.00022,-0.0004,0.00013
1788794211.148742,-0.00417,0.02643,-0.61615,-0.00033,-0.00032,0.00014
1788794211.169097,0.00217,0.019,-0.60888,-0.00026,-0.00028,0.0
1788794211.189455,0.00288,0.02527,-0.6242,-0.00024,-0.00034,0.00012
1788794211.208730,-0.00203,0.02483,-0.62988,-0.00034,-0.00036,0.0002
1788794211.229027,0.00055,0.02421,-0.63794,-0.00028,-0.00025,0.00014
1788794211.249362,0.00245,0.02216,-0.61857,-0.0004,-0.00039,0.0001
1788794211.268740,-0.00146,0.02124,-0.63812,-0.00038,-0.00032,0.00017
1788794211.289244,0.0021,0.02281,-0.64245,-0.00037,-0.00043,0.00024
1788794211.309055,-0.00076,0.0233,-0.64886,-0.00011,-0.00019,0.00015
1788794211.329467,0.00173,0.02075,-0.66857,-0.00022,-0.00035,0.00027
1788794211.348821,-0.00402,0.02515,-0.64184,-0.00032,-0.00021,9e-05
1788794211.369243,-0.00213,0.02041,-0.65116,-0.00028,-0.00038,0.00012
1788794211.389654,-0.00212,0.02153,-0.63672,-0.00026,-0.00042,8e-05
1788794211.408981,-0.00189,0.0203,-0.64845,-0.00044,-0.0005,0.00012
1788794211.429311,0.00223,0.02532,-0.64369,-0.00035,-0.0004,8e-05
1788794211.448675,-0.0031,0.02245,-0.64591,-0.00012,-0.00035,1e-05
1788794211.469533,-0.00195,0.01908,-0.65378,-0.00018,-0.00041,0.00013
1788794211.488923,0.00078,0.01732,-0.66276,-0.00017,-0.00039,1e-05
1788794211.509294,-0.00253,0.0242,-0.65276,-0.00042,-0.00041,-2e-05
