t,Fx,Fy,Fz,Tx,Ty,Tz
1788453668.113085,0.00905,0.00541,-0.15293,2e-05,-1e-05,-4e-05
1788453668.132508,0.00978,0.00193,-0.14356,9e-05,0.00016,-0.00018
1788453668.152833,0.00888,4e-05,-0.15951,0.0001,0.00013,1e-05
1788453668.173024,0.00609,0.00144,-0.13349,-0.00025,-0.00011,-9e-05
1788453668.193160,0.0192,-5e-05,-0.15594,-0.00011,-0.00011,-2e-05
1788453668.217093,0.0074,0.00754,-0.1405,-3e-05,9e-05,9e-05
1788453668.233065,0.01071,0.00416,-0.16253,8e-05,8e-05,6e-05
1788453668.252230,0.00668,-0.00107,-0.16986,2e-05,0.0,0.00018
1788453668.272222,0.00641,-0.0014,-0.16783,-0.00012,-7e-05,8e-05
1788453668.293162,0.013,0.00465,-0.15919,-2e-05,-0.00017,0.00014
1788453668.312939,0.01073,0.00381,-0.17999,-0.00023,-0.00016,0.00017
1788453668.332139,0.00364,0.00378,-0.17866,-0.00018,-0.0001,0.0002
1788453668.352473,0.01144,0.00732,-0.18131,0.00015,0.00016,0.00015
1788453668.372924,0.00727,0.00397,-0.17076,7e-05,0.00034,8e-05
1788453668.393126,0.01156,-0.00088,-0.18092,5e-05,1e-05,8e-05
1788453668.412320,0.01026,0.00873,-0.19159,0.0002,0.00021,0.00015
1788453668.432261,0.01195,0.00167,-0.17211,0.00013,-1e-05,-2e-05
1788453668.452317,0.01286,0.00948,-0.16227,6e-05,0.00025,5e-05
1788453668.473003,0.01366,0.0023,-0.1488,-0.00012,-9e-05,-4e-05
1788453668.493088,0.01024,0.00312,-0.14122,-0.00039,-0.00012,2e-05
1788453668.512599,0.01198,0.00206,-0.16778,4e-05,5e-05,0.0001
1788453668.532615,0.00812,0.0021,-0.18068,6e-05,-7e-05,1e-05
1788453668.552609,0.01059,0.00834,-0.14644,-0.00019,-5e-05,2e-05
1788453668.573009,0.01136,-0.0018,-0.15093,-0.00037,-0.0002,4e-05
1788453668.592118,0.01035,0.00272,-0.17233,9e-05,0.0001,-1e-05
1788453668.612355,0.00945,-0.0011,-0.15385,5e-05,1e-05,-0.0001
1788453668.632365,0.00984,0.00346,-0.17046,-1e-05,0.00012,0.00016
1788453668.652345,0.01264,0.00689,-0.1597,-0.00014,-0.0001,-4e-05
1788453668.672481,0.00695,-0.00073,-0.16873,-0.00011,-9e-05,3e-05
1788453668.693049,0.01015,0.00543,-0.16176,-1e-05,-0.00017,-4e-05
1788453668.713111,0.01242,0.00273,-0.16214,-7e-05,0.00014,0.00018
1788453668.733052,0.00601,0.00511,-0.20986,0.00037,0.00025,9e-05
1788453668.752937,0.00616,0.0071,-0.22517,0.00028,0.0003,0.00016
1788453668.772975,0.01021,0.00751,-0.20714,-1e-05,-0.0,0.00014
1788453668.793071,0.01052,0.00366,-0.22514,-3e-05,5e-05,0.0003
1788453668.812104,0.01292,0.00478,-0.21006,-0.00016,-3e-05,0.00036
1788453668.832197,0.00647,5e-05,-0.19794,-0.00017,2e-05,0.00015
1788453668.852347,0.01003,0.01063,-0.19954,-0.00028,-6e-05,0.00013
1788453668.872968,0.01281,0.00364,-0.23368,0.00027,0.00014,0.00021
1788453668.893045,0.00808,0.00706,-0.19469,-0.00016,8e-05,0.0002
1788453668.912892,0.00536,0.00399,-0.20891,0.00013,0.00012,5e-05
1788453668.932286,0.01032,0.00473,-0.18487,-0.00047,-6e-05,0.00037
1788453668.952916,0.01232,0.00502,-0.18928,-0.00035,-5e-05,0.00022
1788453668.972822,0.00764,0.0066,-0.19455,-0.00021,1e-05,0.00015
1788453668.992213,0.00805,0.00753,-0.20197,-7e-05,0.00024,0.00024
1788453669.012564,0.00865,0.00345,-0.2174,5e-05,0.00013,0.00027
1788453669.033004,0.00938,0.01046,-0.2179,-4e-05,0.00012,0.00027
1788453669.052303,0.01399,0.00531,-0.20488,-0.00018,-9e-05,0.00019
1788453669.072621,0.01018,0.00321,-0.1802,-0.00031,-7e-05,0.00018
1788453669.093018,0.0099,0.00865,-0.19522,-0.00016,-0.0,0.00018
1788453669.112856,0.00837,0.00408,-0.2093,2e-05,7e-05,0.00013
1788453669.132200,0.01194,0.00934,-0.21527,-0.00013,2e-05,0.00036
1788453669.152533,0.01198,0.0046,-0.23356,-5e-05,9e-05,0.00045
1788453669.173004,0.01227,0.00886,-0.22886,-0.00019,5e-05,0.0004
1788453669.192338,0.00836,0.00712,-0.23165,-3e-05,-3e-05,0.00057
1788453669.212678,0.00888,-0.00018,-0.23997,-5e-05,0.00015,0.00058
1788453669.233065,0.00869,0.00476,-0.2208,-0.00011,-1e-05,0.00019
1788453669.252378,0.01401,-0.00144,-0.19442,-7e-05,-7e-05,0.00021
1788453669.272756,0.00921,0.00746,-0.23128,2e-05,9e-05,0.00024
