principle,measure,sensor,probe,width_px,density_px_per_mm2,mae_mm
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,80,13.755197964550996,0.398838157030668
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,160,55.02079185820399,0.5039092455979128
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,320,220.08316743281597,0.66800773220855
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,426,390.03723528357153,0.7215842993241806
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,640,880.3326697312638,0.7500797291489452
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,854,1567.482181049137,0.5390681303273324
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,1280,3521.330678925055,0.5323768701860709
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,1920,7922.994027581375,0.5315968172095404
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,16,0.5502079185820399,0.380840963199117
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,32,2.2008316743281595,0.0552661013652278
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,48,4.95187126723836,-0.0057102550770125
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,80,13.755197964550996,-0.2061985794836851
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,160,55.02079185820399,-0.176639545775576
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,320,220.08316743281597,-0.0628738927574779
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,426,390.03723528357153,-0.1618182690781733
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,640,880.3326697312638,-0.0552896889732301
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,854,1567.482181049137,-0.1916839863520252
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,1280,3521.330678925055,-0.195073020809394
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cyl4,1920,7922.994027581375,-0.1810099439060875
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,8,0.1037200648006484,1.1508356370707302
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,16,0.4148802592025939,1.3402110442764004
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,32,1.659521036810376,1.272000092450587
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,48,3.733922332823346,0.4658003509366439
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,80,10.37200648006485,0.4488850270306708
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,160,41.4880259202594,0.6568566966677682
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,320,165.9521036810376,0.8726795933201572
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,426,294.1047262462889,0.9119384911824726
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,640,663.8084147241505,0.9756453050782
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,854,1181.9484809398402,0.8807569362933512
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,1280,2655.233658896602,0.8704488063675422
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cube4,1920,5974.275732517353,0.9300106979594328
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cyl4,8,0.1037200648006484,67.47047443068188
9DTact,shape_size_err_vs_resolution,hard_3mm_r1,cyl4,16,0.4148802592025939,5.1257069610501045
