sample_index,t_rel_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
221,0.110500,3.557205149,9.221727094,103.257443430,-0.026411257,-0.040800894,-0.968679742
222,0.111000,3.535278005,9.194209106,103.303111834,-0.026988911,-0.041714535,-0.969131148
223,0.111500,3.617731601,9.195303967,103.235746708,-0.026015162,-0.041353278,-0.969039540
224,0.112000,3.559452038,9.217168069,103.257661454,-0.026981087,-0.041765944,-0.968935328
225,0.112500,3.575478054,9.221719297,103.209362564,-0.026928224,-0.042717877,-0.968307882
226,0.113000,3.566589686,9.242551052,103.253386727,-0.026426188,-0.042418614,-0.968035356
227,0.113500,3.584723204,9.214029362,103.242262522,-0.027336723,-0.042168795,-0.968023456
228,0.114000,3.590340114,9.214668228,103.266036640,-0.026791924,-0.041467247,-0.968213187
229,0.114500,3.566900814,9.212971914,103.326160768,-0.026829986,-0.042125276,-0.969343974
230,0.115000,3.589758139,9.207020020,103.325191184,-0.026674095,-0.041979523,-0.969100496
231,0.115500,3.631556545,9.193197639,103.242715409,-0.027451310,-0.041894996,-0.968109906
232,0.116000,3.606508793,9.185105870,103.277242154,-0.027173261,-0.041091393,-0.968180763
233,0.116500,3.662521980,9.162193608,103.315478650,-0.027661690,-0.041505079,-0.969404654
234,0.117000,3.568084148,9.171363347,103.381941436,-0.027491755,-0.041133236,-0.969139978
235,0.117500,3.534305081,9.155987976,103.338895960,-0.027090680,-0.041424148,-0.969664970
236,0.118000,3.574423927,9.232094230,103.245156350,-0.026680048,-0.041128390,-0.968461949
237,0.118500,3.572365551,9.234427520,103.294996571,-0.026133895,-0.041821877,-0.969829912
238,0.119000,3.590931782,9.205400726,103.254412531,-0.027037164,-0.041380425,-0.968103087
239,0.119500,3.536224474,9.212858094,103.213776967,-0.027209909,-0.041506302,-0.969090808
240,0.120000,3.575356943,9.226855488,103.280256540,-0.026899512,-0.042075135,-0.969034727
241,0.120500,3.566302817,9.211620709,103.164831620,-0.026828440,-0.041309278,-0.968078359
242,0.121000,3.574033375,9.243091481,103.267608270,-0.026421734,-0.041631376,-0.968574711
243,0.121500,3.575052407,9.252554395,103.276341155,-0.026529187,-0.041738823,-0.967991111
244,0.122000,3.576639750,9.197068626,103.277599854,-0.027469877,-0.041497537,-0.968319303
245,0.122500,3.566617254,9.194641691,103.368061024,-0.026780523,-0.042244084,-0.968729405
246,0.123000,3.576298139,9.207538803,103.334970156,-0.027218486,-0.041996440,-0.968747138
247,0.123500,3.576360798,9.166559276,103.312752774,-0.027694473,-0.040895231,-0.968612652
248,0.124000,3.613516089,9.161061581,103.336697900,-0.027168797,-0.041047933,-0.969046220
249,0.124500,3.599281181,9.161198027,103.335388146,-0.027536655,-0.040953919,-0.968700936
250,0.125000,3.575063875,9.195228420,103.326722885,-0.027132957,-0.041264306,-0.969311386
251,0.125500,3.534399864,9.191042872,103.351032060,-0.026839299,-0.041179273,-0.969766704
252,0.126000,3.574243787,9.186335349,103.280144178,-0.027013984,-0.041167346,-0.968888334
253,0.126500,3.614210064,9.191846925,103.257037808,-0.027120333,-0.041554410,-0.968789543
254,0.127000,3.597486130,9.218834278,103.254442978,-0.026575567,-0.041408691,-0.968105080
255,0.127500,3.581404581,9.218690354,103.198964829,-0.026588033,-0.041090492,-0.968152452
256,0.128000,3.574937762,9.217120693,103.200484086,-0.026965520,-0.041673823,-0.968631656
257,0.128500,3.592126135,9.224092485,103.162150225,-0.027253567,-0.041178596,-0.967371167
258,0.129000,3.553036145,9.223370229,103.369705086,-0.027124912,-0.042436656,-0.969086689
259,0.129500,3.560022996,9.187589515,103.267520999,-0.027372993,-0.041281855,-0.968559740
260,0.130000,3.557448612,9.203736436,103.313359851,-0.026542922,-0.041024230,-0.968748680
261,0.130500,3.576749576,9.195972292,103.287449560,-0.027476429,-0.041292217,-0.967956822
262,0.131000,3.584668513,9.169148220,103.290367517,-0.027848480,-0.040434732,-0.968499761
263,0.131500,3.599260470,9.140886975,103.356871799,-0.027683322,-0.040556650,-0.968435448
264,0.132000,3.574361135,9.167163401,103.288850687,-0.027149503,-0.040981803,-0.968293746
265,0.132500,3.550914975,9.210613937,103.291845751,-0.026857853,-0.041393233,-0.969012175
266,0.133000,3.541969087,9.204480537,103.235515767,-0.026727296,-0.040817844,-0.968818696
267,0.133500,3.598805936,9.211636093,103.267662846,-0.026988861,-0.041842562,-0.968681149
268,0.134000,3.573353120,9.194927248,103.211103713,-0.026767971,-0.040846169,-0.968365626
269,0.134500,3.527201808,9.223512938,103.270006677,-0.026783504,-0.041005203,-0.969031328
270,0.135000,3.560120612,9.250875551,103.270058469,-0.026919312,-0.041215836,-0.969026325
271,0.135500,3.569913576,9.229708606,103.310693707,-0.027419481,-0.041730585,-0.968186017
272,0.136000,3.581754112,9.231714734,103.186273669,-0.026490478,-0.041917016,-0.967958759
273,0.136500,3.597299130,9.218222247,103.232301742,-0.026579791,-0.041201049,-0.968119107
274,0.137000,3.583716114,9.181450697,103.252571465,-0.027393264,-0.041045796,-0.967630635
275,0.137500,3.609172691,9.189121734,103.308558999,-0.027678637,-0.042052077,-0.967830104
276,0.138000,3.585765380,9.207390734,103.253119671,-0.027744412,-0.040728321,-0.967620148
277,0.138500,3.551144321,9.191505561,103.359075597,-0.026998369,-0.041408047,-0.969064423
278,0.139000,3.592071181,9.193710280,103.314349820,-0.027488156,-0.040977003,-0.968958185
279,0.139500,3.590152452,9.186984962,103.302167665,-0.026996893,-0.041486426,-0.968871680
280,0.140000,3.572834865,9.214940921,103.235590951,-0.026447471,-0.041336065,-0.968940233
281,0.140500,3.572183900,9.214579969,103.223038505,-0.026268641,-0.041228335,-0.968602517
282,0.141000,3.542927233,9.214512712,103.269317328,-0.026835121,-0.041126529,-0.968912648
283,0.141500,3.613994832,9.188999456,103.257523422,-0.027142257,-0.040929723,-0.968770189
284,0.142000,3.598443219,9.183298609,103.221665577,-0.027190760,-0.041456944,-0.968361044
285,0.142500,3.584352035,9.217962878,103.267410305,-0.027314161,-0.041113971,-0.968432565
286,0.143000,3.583338751,9.230834615,103.254682928,-0.026859316,-0.041926273,-0.968240993
287,0.143500,3.586444975,9.251557296,103.288867605,-0.027427630,-0.042558745,-0.968457494
288,0.144000,3.594105486,9.244747480,103.253358303,-0.027467290,-0.042000405,-0.967890833
289,0.144500,3.559480269,9.196329942,103.314063489,-0.027134676,-0.041364593,-0.968984912
290,0.145000,3.577414657,9.197450962,103.288688580,-0.027646410,-0.041608469,-0.968311229
291,0.145500,3.568310397,9.211437578,103.312441734,-0.027195754,-0.041729736,-0.968647610
292,0.146000,3.561783353,9.214434848,103.359786290,-0.027544157,-0.041469088,-0.969176107
293,0.146500,3.590698940,9.169206727,103.255053576,-0.027299693,-0.041413576,-0.968330454
294,0.147000,3.612590598,9.171298272,103.221425627,-0.026907011,-0.040939362,-0.968225131
295,0.147500,3.550196530,9.191628912,103.314532209,-0.026817211,-0.041297996,-0.969103214
296,0.148000,3.573374758,9.177969352,103.198647091,-0.026888088,-0.041074469,-0.968150210
