sensor,width_px,mae,thickness_mm,hardness,density_px_per_mm2,principle,probe
soft_1mm_r2,320,0.04428811842620859,1,soft,332.85638861345575,DIGIT,cyl4
soft_1mm_r2,426,0.04389711250946545,1,soft,589.8969333985889,DIGIT,cyl4
soft_1mm_r2,640,0.042304437906400594,1,soft,1331.425554453823,DIGIT,cyl4
soft_1mm_r2,854,0.041909362177904676,1,soft,2370.678612480577,DIGIT,cyl4
soft_1mm_r2,1280,0.04411440372552102,1,soft,5325.702217815292,DIGIT,cyl4
soft_1mm_r2,1920,0.04329598724927133,1,soft,11982.829990084407,DIGIT,cyl4
soft_2mm_r1,8,0.13413306284927096,2,soft,0.1832714063117097,DIGIT,cyl4
soft_2mm_r1,16,0.11403429777903124,2,soft,0.7330856252468388,DIGIT,cyl4
soft_2mm_r1,32,0.08950463579577968,2,soft,2.9323425009873554,DIGIT,cyl4
soft_2mm_r1,48,0.0843979721539494,2,soft,6.597770627221551,DIGIT,cyl4
soft_2mm_r1,80,0.0876431799454765,2,soft,18.327140631170973,DIGIT,cyl4
soft_2mm_r1,160,0.08749752858259245,2,soft,73.3085625246839,DIGIT,cyl4
soft_2mm_r1,320,0.08729695522763298,2,soft,293.2342500987356,DIGIT,cyl4
soft_2mm_r1,426,0.08699719726024037,2,soft,519.6775270597474,DIGIT,cyl4
soft_2mm_r1,640,0.08480706370351676,2,soft,1172.9370003949423,DIGIT,cyl4
soft_2mm_r1,854,0.08482385793306396,2,soft,2088.480765087983,DIGIT,cyl4
soft_2mm_r1,1280,0.087314126332382,2,soft,4691.748001579769,DIGIT,cyl4
soft_2mm_r1,1920,0.08653902691084113,2,soft,10556.43300355448,DIGIT,cyl4
soft_3mm_r1,8,0.13140053251044606,3,soft,0.14892884080120877,DIGIT,cyl4
soft_3mm_r1,16,0.10749328923629375,3,soft,0.5957153632048351,DIGIT,cyl4
soft_3mm_r1,32,0.10411390378357624,3,soft,2.3828614528193404,DIGIT,cyl4
soft_3mm_r1,48,0.12006864263893816,3,soft,5.361438268843514,DIGIT,cyl4
soft_3mm_r1,80,0.12072221203924867,3,soft,14.892884080120874,DIGIT,cyl4
soft_3mm_r1,160,0.12457782640339585,3,soft,59.571536320483496,DIGIT,cyl4
soft_3mm_r1,320,0.12440799637915348,3,soft,238.28614528193398,DIGIT,cyl4
soft_3mm_r1,426,0.12410425110937806,3,soft,422.2970361443775,DIGIT,cyl4
soft_3mm_r1,640,0.11434889971496313,3,soft,953.1445811277359,DIGIT,cyl4
soft_3mm_r1,854,0.11448983564259266,3,soft,1697.1279134027243,DIGIT,cyl4
