unit,width_px,x_mm,depth_mm,true_mm
medium_3mm_r2,320,2.630868423169282,0.2843769,0.4827593278419329
medium_3mm_r2,320,2.69832658786593,0.28281075,0.4827593278419329
medium_3mm_r2,320,2.765784752562578,0.28134713,0.4827593278419329
medium_3mm_r2,320,2.833242917259226,0.2799894,0.4827593278419329
medium_3mm_r2,320,2.9007010819558747,0.2787417,0.4827593278419329
medium_3mm_r2,320,2.968159246652523,0.2776041,0.4827593278419329
medium_3mm_r2,320,3.035617411349171,0.27656075,0.4827593278419329
medium_3mm_r2,320,3.1030755760458195,0.27555037,0.4827593278419329
medium_3mm_r2,320,3.1705337407424676,0.27430642,0.4827593278419329
medium_3mm_r2,320,3.2379919054391157,0.27174324,0.4827593278419329
medium_3mm_r2,320,3.305450070135764,0.2566398,0.4827593278419329
medium_3mm_r2,320,3.3729082348324124,0.23497286,0.4827593278419329
medium_3mm_r2,320,3.4403663995290605,0.20875514,0.4827593278419329
medium_3mm_r2,320,3.5078245642257087,0.18340133,0.4827593278419329
medium_3mm_r2,320,3.575282728922357,0.16088237,0.4827593278419329
medium_3mm_r2,320,3.6427408936190053,0.13902718,0.4827593278419329
medium_3mm_r2,320,3.7101990583156534,0.1185962,0.4827593278419329
medium_3mm_r2,320,3.777657223012302,0.1011237,0.4827593278419329
medium_3mm_r2,320,3.84511538770895,0.08521476,0.4827593278419329
medium_3mm_r2,320,3.9125735524055982,0.07173891,0.4827593278419329
medium_3mm_r2,320,3.9800317171022463,0.060412806,0.4827593278419329
medium_3mm_r2,320,4.047489881798895,0.051224213,0.4827593278419329
medium_3mm_r2,320,4.1149480464955435,0.042927623,0.4827593278419329
medium_3mm_r2,320,4.182406211192191,0.035506975,0.4827593278419329
medium_3mm_r2,320,4.24986437588884,0.029364126,0.4827593278419329
medium_3mm_r2,320,4.317322540585487,0.02603311,0.4827593278419329
medium_3mm_r2,320,4.384780705282136,0.025326857,0.4827593278419329
medium_3mm_r2,320,4.4522388699787845,0.023914278,0.4827593278419329
medium_3mm_r2,320,4.519697034675432,0.022552162,0.4827593278419329
medium_3mm_r2,320,4.587155199372081,0.021520745,0.4827593278419329
