sensor,hardness,thickness_mm,width_px,density_px_per_mm2,res,principle
soft_1mm_r1,soft,1,48,6.233952032429001,0.068483866751194,9DTact
soft_1mm_r1,soft,1,80,17.31653342341389,0.0672456100583076,9DTact
soft_1mm_r1,soft,1,160,69.26613369365556,0.0754617303609848,9DTact
soft_1mm_r1,soft,1,320,277.06453477462225,0.0742901861667633,9DTact
soft_1mm_r1,soft,1,426,491.02112805429056,0.0743626654148101,9DTact
soft_1mm_r1,soft,1,640,1108.258139098489,0.0734978392720222,9DTact
soft_1mm_r1,soft,1,854,1973.316389098519,0.0745505988597869,9DTact
soft_1mm_r1,soft,1,1280,4433.032556393956,0.0707878991961479,9DTact
soft_1mm_r1,soft,1,1920,9974.3232518864,0.0742341801524162,9DTact
soft_2mm_r1,soft,2,8,0.13648472575547244,0.096996009349823,9DTact
soft_2mm_r1,soft,2,16,0.5459389030218897,0.0890445858240127,9DTact
soft_2mm_r1,soft,2,32,2.183755612087559,0.0843007415533065,9DTact
soft_2mm_r1,soft,2,48,4.913450127197007,0.1015569642186164,9DTact
soft_2mm_r1,soft,2,80,13.648472575547242,0.0623838528990745,9DTact
soft_2mm_r1,soft,2,160,54.59389030218897,0.062121246010065,9DTact
soft_2mm_r1,soft,2,320,218.37556120875587,0.0620559491217136,9DTact
soft_2mm_r1,soft,2,426,387.01097017500166,0.0664265751838684,9DTact
soft_2mm_r1,soft,2,640,873.5022448350235,0.057151336222887,9DTact
soft_2mm_r1,soft,2,854,1555.3202226418462,0.0714959353208541,9DTact
soft_2mm_r1,soft,2,1280,3494.008979340094,0.0591076947748661,9DTact
soft_2mm_r1,soft,2,1920,7861.5202035152115,0.0752730220556259,9DTact
soft_3mm_r1,soft,3,8,0.11184937400929676,0.1308180838823318,9DTact
soft_3mm_r1,soft,3,16,0.44739749603718704,0.1169019639492034,9DTact
soft_3mm_r1,soft,3,32,1.7895899841487481,0.0979365482926368,9DTact
soft_3mm_r1,soft,3,48,4.026577464334683,0.1000723093748092,9DTact
soft_3mm_r1,soft,3,80,11.184937400929673,0.0944233536720275,9DTact
soft_3mm_r1,soft,3,160,44.73974960371869,0.0861400589346885,9DTact
soft_3mm_r1,soft,3,320,178.95899841487477,0.0882923007011413,9DTact
soft_3mm_r1,soft,3,426,317.15589058923655,0.0871700718998909,9DTact
soft_3mm_r1,soft,3,640,715.8359936594991,0.0898547992110252,9DTact
soft_3mm_r1,soft,3,854,1274.5865321088163,0.0910850912332534,9DTact
soft_3mm_r1,soft,3,1280,2863.3439746379963,0.0925892889499664,9DTact
soft_3mm_r1,soft,3,1920,6442.523942935493,0.0939550474286079,9DTact
hard_1mm_r1,hard,1,8,0.21444712842969466,0.2091873884201049,DIGIT
hard_1mm_r1,hard,1,16,0.8577885137187786,0.1449349075555801,DIGIT
hard_1mm_r1,hard,1,32,3.4311540548751145,0.1183388531208038,DIGIT
hard_1mm_r1,hard,1,48,7.720096623469007,0.1120153069496154,DIGIT
hard_1mm_r1,hard,1,80,21.44471284296947,0.1055978387594223,DIGIT
hard_1mm_r1,hard,1,160,85.77885137187788,0.0996937006711959,DIGIT
hard_1mm_r1,hard,1,320,343.1154054875115,0.1063556000590324,DIGIT
hard_1mm_r1,hard,1,426,608.0782356079261,0.1105538681149482,DIGIT
hard_1mm_r1,hard,1,640,1372.461621950046,0.1101341396570205,DIGIT
hard_1mm_r1,hard,1,854,2443.745654966113,0.1121743768453598,DIGIT
hard_1mm_r1,hard,1,1280,5489.846487800184,0.1143386587500572,DIGIT
hard_1mm_r1,hard,1,1920,12352.154597550414,0.1167709231376648,DIGIT
hard_2mm_r2,hard,2,8,0.18730501242301487,0.1536569148302078,DIGIT
hard_2mm_r2,hard,2,16,0.7492200496920595,0.1140839383006095,DIGIT
hard_2mm_r2,hard,2,32,2.996880198768238,0.1017211377620697,DIGIT
hard_2mm_r2,hard,2,48,6.742980447228534,0.0940012410283088,DIGIT
hard_2mm_r2,hard,2,80,18.730501242301486,0.0947412922978401,DIGIT
hard_2mm_r2,hard,2,160,74.92200496920594,0.1036145016551017,DIGIT
hard_2mm_r2,hard,2,320,299.6880198768238,0.1032722219824791,DIGIT
hard_2mm_r2,hard,2,426,531.1150692887351,0.0931189358234405,DIGIT
hard_2mm_r2,hard,2,640,1198.752079507295,0.1116326749324798,DIGIT
hard_2mm_r2,hard,2,854,2134.4459756297424,0.1018745228648185,DIGIT
hard_2mm_r2,hard,2,1280,4795.00831802918,0.1094693318009376,DIGIT
hard_2mm_r2,hard,2,1920,10788.768715565659,0.1125909909605979,DIGIT
