sensor,axis,width_px,median,min,max
medium_2mm_r2,Tz,1920,0.0001836914016166,0.0001670230267336,0.0001964584953384
medium_3mm_r1,Tx,8,0.0014842798700556,0.0009684573160484,0.0018806417938321
medium_3mm_r1,Tx,16,0.0014848110731691,0.0007894072914496,0.001610190840438
medium_3mm_r1,Tx,32,0.0007104779942892,0.000690291984938,0.0011074253125116
medium_3mm_r1,Tx,48,0.0008744408260099,0.0007532542804256,0.0009404774173162
medium_3mm_r1,Tx,80,0.0006455349503085,0.0005705455550923,0.0009643101948313
medium_3mm_r1,Tx,160,0.0006446372717618,0.0005879660020582,0.0007591801695525
medium_3mm_r1,Tx,320,0.0004980387748219,0.000474804197438,0.0006142375641502
medium_3mm_r1,Tx,426,0.0005107534816488,0.0004534915206022,0.000603272113949
medium_3mm_r1,Tx,640,0.0006075002602301,0.0005613500834442,0.0007040965138003
medium_3mm_r1,Tx,854,0.0005427811411209,0.0004948318819515,0.0008171405643224
medium_3mm_r1,Tx,1280,0.000608958536759,0.00053838576423,0.0006733433692716
medium_3mm_r1,Tx,1920,0.0005990877980366,0.0004695316310971,0.0006073783151805
medium_3mm_r1,Ty,8,0.0010587619617581,0.0008598834392614,0.0014297375455498
medium_3mm_r1,Ty,16,0.0008468796149827,0.0005511687486432,0.0009449296630918
medium_3mm_r1,Ty,32,0.0005066493176855,0.0004408328968565,0.000644220621325
medium_3mm_r1,Ty,48,0.0006077780853956,0.0004379992897156,0.0008479355019517
medium_3mm_r1,Ty,80,0.0003939284069929,0.0003717618528753,0.0007859122706577
medium_3mm_r1,Ty,160,0.0005493551143445,0.0003865605394821,0.0005594897083938
medium_3mm_r1,Ty,320,0.0004737616691272,0.0003336592926643,0.0005587868508882
medium_3mm_r1,Ty,426,0.0004830676771234,0.0004413829592522,0.0004874606675002
medium_3mm_r1,Ty,640,0.0004844767099712,0.0004510252911131,0.0005107223987579
medium_3mm_r1,Ty,854,0.000554708763957,0.0003733383782673,0.0010602551046758
medium_3mm_r1,Ty,1280,0.0004040632920805,0.0003370505874045,0.0004683915758505
medium_3mm_r1,Ty,1920,0.0003951102844439,0.0003176557656843,0.0004437734023667
medium_3mm_r1,Tz,8,0.0002587380586192,0.0002506687596905,0.0002911522169597
medium_3mm_r1,Tz,16,0.0002681725891306,0.0002567308256402,0.0002699839533306
medium_3mm_r1,Tz,32,0.0002851496683433,0.000273863057373,0.000290171476081
medium_3mm_r1,Tz,48,0.0002845905255526,0.0002833953767549,0.0002962316211778
medium_3mm_r1,Tz,80,0.0002589489449746,0.000216299391468,0.0002722852223087
medium_3mm_r1,Tz,160,0.0002732963184826,0.0001992880861507,0.0002906367008108
medium_3mm_r1,Tz,320,0.0002524109149817,0.0002290502889081,0.0002682718914002
medium_3mm_r1,Tz,426,0.0002943540457636,0.0002900732506532,0.0002945307642221
medium_3mm_r1,Tz,640,0.0002289412223035,0.0002276518498547,0.0002428287552902
medium_3mm_r1,Tz,854,0.0002411810564808,0.0002321231295354,0.0002595709520392
medium_3mm_r1,Tz,1280,0.0002713138528633,0.0002502186107449,0.0002886317379307
