principle,unit,hardness,thickness_mm,rep,metric,value
DIGIT,soft_2mm_r2,soft,2,2,골 깊이 best_dip,1.0
DIGIT,soft_3mm_r1,soft,3,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,soft_3mm_r1,soft,3,1,골 깊이 best_dip,1.0
DIGIT,soft_3mm_r2,soft,3,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,soft_3mm_r2,soft,3,2,골 깊이 best_dip,1.0
DIGIT,hard_1mm_r1,hard,1,1,자국 지름 기울기 ball4 (px/mm),413.5452667618863
DIGIT,hard_1mm_r1,hard,1,1,밝기 기울기 ball4 (lvl/mm),10.430811784115168
DIGIT,hard_1mm_r2,hard,1,2,자국 지름 기울기 ball4 (px/mm),251.9298492994843
DIGIT,hard_1mm_r2,hard,1,2,밝기 기울기 ball4 (lvl/mm),14.75348118366535
DIGIT,hard_2mm_r1,hard,2,1,자국 지름 기울기 ball4 (px/mm),249.8273692503749
DIGIT,hard_2mm_r1,hard,2,1,밝기 기울기 ball4 (lvl/mm),9.261371638032442
DIGIT,hard_2mm_r2,hard,2,2,자국 지름 기울기 ball4 (px/mm),266.3243948168619
DIGIT,hard_2mm_r2,hard,2,2,밝기 기울기 ball4 (lvl/mm),9.381987609024176
DIGIT,hard_3mm_r1,hard,3,1,자국 지름 기울기 ball4 (px/mm),167.3570366346791
DIGIT,hard_3mm_r1,hard,3,1,밝기 기울기 ball4 (lvl/mm),4.717036766435144
DIGIT,hard_3mm_r2,hard,3,2,자국 지름 기울기 ball4 (px/mm),194.9266056960076
DIGIT,hard_3mm_r2,hard,3,2,밝기 기울기 ball4 (lvl/mm),6.354326479567449
DIGIT,medium_1mm_r1,medium,1,1,자국 지름 기울기 ball4 (px/mm),429.4616219183464
DIGIT,medium_1mm_r1,medium,1,1,밝기 기울기 ball4 (lvl/mm),10.270765836465824
DIGIT,medium_1mm_r2,medium,1,2,자국 지름 기울기 ball4 (px/mm),374.46985892629687
DIGIT,medium_1mm_r2,medium,1,2,밝기 기울기 ball4 (lvl/mm),9.97817495019154
DIGIT,medium_2mm_r1,medium,2,1,자국 지름 기울기 ball4 (px/mm),199.23844328291236
DIGIT,medium_2mm_r1,medium,2,1,밝기 기울기 ball4 (lvl/mm),8.967037463166596
