principle,unit,probe,centre_gap_mm,edge_gap_mm,hardness,thickness_mm,rep,depth_mm,dip,dip_sd,imprint_lvl,symmetry,verdict,mtf,verdict_mtf
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.9,0.058,0.016,22.36,0.95,미분해,0.03,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.1,0.588,0.111,1.52,0.46,신호부족,0.417,신호부족
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.2,0.198,0.045,4.95,0.94,미분해,0.11,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.3,0.06,0.037,7.38,0.88,미분해,0.031,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.4,0.113,0.025,10.84,0.99,미분해,0.06,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.5,0.079,0.022,13.48,0.95,미분해,0.041,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.6,0.053,0.019,16.41,0.96,미분해,0.027,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.8,0.014,0.015,20.68,0.96,미분해,0.007,미분해
9DTact,hard_2mm_r2,pair010,1.1,0.1,hard,2,2,0.9,0.004,0.013,22.37,0.94,미분해,0.002,미분해
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.1,0.435,0.147,1.27,0.6,신호부족,0.278,신호부족
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.2,0.181,0.104,2.32,0.68,신호부족,0.099,신호부족
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.3,0.061,0.052,4.15,0.86,미분해,0.031,미분해
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.5,0.076,0.038,7.75,0.95,미분해,0.039,미분해
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.6,0.093,0.034,9.39,0.99,미분해,0.049,미분해
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.7,0.052,0.028,10.84,0.97,미분해,0.027,미분해
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.8,0.072,0.024,12.74,0.99,미분해,0.037,미분해
9DTact,hard_3mm_r1,pair010,1.1,0.1,hard,3,1,0.9,0.063,0.024,14.5,0.96,미분해,0.033,미분해
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.1,0.695,0.145,0.94,0.84,신호부족,0.532,신호부족
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.2,0.507,0.135,1.04,0.57,신호부족,0.34,신호부족
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.3,0.53,0.101,1.5,0.52,신호부족,0.361,신호부족
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.4,0.105,0.074,3.02,0.5,미분해,0.056,미분해
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.6,0.055,0.03,9.0,0.89,미분해,0.028,미분해
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.7,0.103,0.026,11.69,0.98,미분해,0.055,미분해
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.8,0.065,0.026,13.43,0.95,미분해,0.034,미분해
9DTact,hard_3mm_r2,pair010,1.1,0.1,hard,3,2,0.9,0.057,0.02,15.98,0.97,미분해,0.03,미분해
9DTact,soft_1mm_r1,pair025,1.25,0.25,soft,1,1,0.1,0.202,0.064,2.64,0.78,미분해,0.112,미분해
9DTact,soft_1mm_r1,pair025,1.25,0.25,soft,1,1,0.2,0.175,0.039,4.77,0.92,미분해,0.096,미분해
9DTact,soft_1mm_r1,pair025,1.25,0.25,soft,1,1,0.3,0.174,0.029,7.06,0.97,미분해,0.096,미분해
9DTact,soft_1mm_r2,pair025,1.25,0.25,soft,1,2,0.1,0.561,0.083,2.4,0.7,신호부족,0.39,신호부족
9DTact,soft_1mm_r2,pair025,1.25,0.25,soft,1,2,0.2,0.076,0.049,4.44,0.8,미분해,0.039,미분해
9DTact,soft_1mm_r2,pair025,1.25,0.25,soft,1,2,0.3,0.029,0.04,6.08,0.88,미분해,0.015,미분해
9DTact,soft_2mm_r1,pair025,1.25,0.25,soft,2,1,0.1,0.168,0.072,4.38,0.74,미분해,0.092,미분해
9DTact,soft_2mm_r1,pair025,1.25,0.25,soft,2,1,0.2,0.144,0.042,6.9,0.81,미분해,0.077,미분해
9DTact,soft_2mm_r1,pair025,1.25,0.25,soft,2,1,0.3,0.067,0.034,9.85,0.91,미분해,0.035,미분해
9DTact,soft_2mm_r2,pair025,1.25,0.25,soft,2,2,0.1,0.59,0.123,1.64,0.65,신호부족,0.418,신호부족
9DTact,soft_2mm_r2,pair025,1.25,0.25,soft,2,2,0.2,0.516,0.078,3.26,0.8,분해,0.348,미분해
9DTact,soft_2mm_r2,pair025,1.25,0.25,soft,2,2,0.3,0.092,0.066,5.3,0.8,미분해,0.048,미분해
9DTact,soft_3mm_r1,pair025,1.25,0.25,soft,3,1,0.1,0.6,0.127,1.33,0.87,신호부족,0.429,신호부족
9DTact,soft_3mm_r1,pair025,1.25,0.25,soft,3,1,0.2,0.364,0.127,1.58,0.47,신호부족,0.222,신호부족
9DTact,soft_3mm_r1,pair025,1.25,0.25,soft,3,1,0.3,0.111,0.061,4.13,0.71,미분해,0.059,미분해
9DTact,soft_3mm_r2,pair025,1.25,0.25,soft,3,2,0.1,0.504,0.134,1.18,0.46,신호부족,0.336,신호부족
9DTact,soft_3mm_r2,pair025,1.25,0.25,soft,3,2,0.2,0.271,0.056,3.83,0.77,분해,0.156,미분해
9DTact,soft_3mm_r2,pair025,1.25,0.25,soft,3,2,0.3,0.228,0.042,5.61,0.86,미분해,0.128,미분해
9DTact,medium_1mm_r1,pair025,1.25,0.25,medium,1,1,0.1,0.455,0.07,3.75,1.0,분해,0.294,미분해
9DTact,medium_1mm_r1,pair025,1.25,0.25,medium,1,1,0.2,0.206,0.079,3.72,0.7,미분해,0.115,미분해
9DTact,medium_1mm_r1,pair025,1.25,0.25,medium,1,1,0.3,0.1,0.045,5.67,0.68,미분해,0.053,미분해
9DTact,medium_1mm_r2,pair025,1.25,0.25,medium,1,2,0.1,0.238,0.093,2.68,0.44,미분해,0.135,미분해
9DTact,medium_1mm_r2,pair025,1.25,0.25,medium,1,2,0.2,0.208,0.106,2.17,0.53,신호부족,0.116,신호부족
9DTact,medium_1mm_r2,pair025,1.25,0.25,medium,1,2,0.3,0.292,0.138,1.56,0.61,신호부족,0.171,신호부족
9DTact,medium_2mm_r2,pair025,1.25,0.25,medium,2,2,0.1,0.444,0.079,3.33,0.7,분해,0.285,미분해
9DTact,medium_2mm_r2,pair025,1.25,0.25,medium,2,2,0.2,0.066,0.04,6.79,0.84,미분해,0.034,미분해
