unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
medium_1mm_r1,pair050,8,0.2,-0.018673342340194354,0.005257917629070685,4.500031471252441,-0.00925030412228406,미분해,0.15358648869735508
medium_1mm_r1,pair050,8,0.3,-0.03245537685869282,0.006762141584182316,5.142655849456787,-0.015968555683055177,미분해,0.15358648869735508
medium_2mm_r2,pair050,1920,0.1,0.21964337989738392,0.05876626393959233,4.824688911437988,0.12337044017884696,미분해,7829.520925311901
medium_2mm_r2,pair050,1920,0.2,0.2296675374895143,0.03269632143026745,8.233274459838867,0.12973130321737747,미분해,7829.520925311901
medium_2mm_r2,pair050,1920,0.3,0.24794101007710334,0.029756690754124744,10.508764266967773,0.14151407658255533,미분해,7829.520925311901
medium_2mm_r2,pair050,1280,0.1,0.45892563776974293,0.04597412292528092,5.3173828125,0.29779590720436194,분해,3479.787077916401
medium_2mm_r2,pair050,1280,0.2,0.2324238776264349,0.03089081445962374,8.431366920471191,0.13149299466340822,미분해,3479.787077916401
medium_2mm_r2,pair050,1280,0.3,0.20281852004167122,0.029459466517661764,10.233561515808105,0.11285366686862029,미분해,3479.787077916401
medium_2mm_r2,pair050,854,0.1,0.3996330436118082,0.039433465776904285,5.427233695983887,0.24971338105713267,분해,1548.989497386278
medium_2mm_r2,pair050,854,0.2,0.24609712384158688,0.029066320784004285,8.456828117370605,0.14031399753480953,미분해,1548.989497386278
medium_2mm_r2,pair050,854,0.3,0.2123934297839013,0.027006423308403166,10.306543350219727,0.11881441549984106,미분해,1548.989497386278
medium_2mm_r2,pair050,640,0.1,0.36555345199139133,0.03481506809383446,5.3730854988098145,0.22365580106414465,분해,869.9467694791002
medium_2mm_r2,pair050,640,0.2,0.2199271702969091,0.02279642766384482,8.171541213989258,0.1235495349555962,미분해,869.9467694791002
medium_2mm_r2,pair050,640,0.3,0.18767427924754077,0.023326167082241306,10.137758255004883,0.10355438710521654,미분해,869.9467694791002
medium_2mm_r2,pair050,426,0.1,0.31443709316186474,0.02102438395080947,5.289050102233887,0.18654723112749427,분해,385.43569320798133
medium_2mm_r2,pair050,426,0.2,0.1918832434848584,0.01605474635657897,8.073376655578613,0.10612325934896095,미분해,385.43569320798133
medium_2mm_r2,pair050,426,0.3,0.163291868011318,0.016481407688411595,10.053080558776855,0.08890463605369622,미분해,385.43569320798133
medium_2mm_r2,pair050,320,0.1,0.1970958551216806,0.017101019873320317,5.210171222686768,0.10932131676639016,미분해,217.48669236977506
medium_2mm_r2,pair050,320,0.2,0.16360616794352378,0.011662866654693542,8.0146484375,0.08909100275092424,미분해,217.48669236977506
medium_2mm_r2,pair050,320,0.3,0.17201330577634788,0.016223413988945442,10.049513816833496,0.09409986753180506,미분해,217.48669236977506
medium_2mm_r2,pair050,160,0.1,0.1390557950008987,0.009006781917760632,4.865490913391113,0.07472324781546358,미분해,54.371673092443764
medium_2mm_r2,pair050,160,0.2,0.1226536522804148,0.011234769916739494,7.935667514801025,0.0653335237951177,미분해,54.371673092443764
medium_2mm_r2,pair050,160,0.3,0.12533073799013328,0.011597121921151797,9.889954566955566,0.06685485302925588,미분해,54.371673092443764
medium_2mm_r2,pair050,80,0.1,0.11673367071608864,0.018261689322273157,4.79358434677124,0.06198468527840946,미분해,13.592918273110941
medium_2mm_r2,pair050,80,0.2,0.11308903735747078,0.007368062211486007,7.865320682525635,0.059933425368992994,미분해,13.592918273110941
medium_2mm_r2,pair050,80,0.3,0.10136031022019976,0.007542354443359528,9.90059757232666,0.05338575337164434,미분해,13.592918273110941
medium_2mm_r2,pair050,48,0.1,-0.020418139073355768,0.006751290408740392,4.424854278564453,-0.010105897724082196,미분해,4.893450578319937
medium_2mm_r2,pair050,48,0.2,-0.031811924321538454,0.008313670690709237,6.900140285491943,-0.015656923724454007,미분해,4.893450578319937
medium_2mm_r2,pair050,48,0.3,0.04708796281765715,0.008687910876072381,9.328286170959473,0.024111666025468104,미분해,4.893450578319937
medium_2mm_r2,pair050,32,0.1,-0.0695604707477806,0.012771641737081943,3.8593249320983887,-0.033611228920818505,미분해,2.1748669236977505
medium_2mm_r2,pair050,32,0.2,0.02694652793264185,0.011224510182926275,6.5750956535339355,0.013657271996996293,미분해,2.1748669236977505
medium_2mm_r2,pair050,32,0.3,0.029238980469429965,0.009245996067694546,8.568462371826172,0.014836390703726535,미분해,2.1748669236977505
medium_2mm_r2,pair050,16,0.1,,,,,접촉 없음,0.5437167309244376
medium_2mm_r2,pair050,16,0.2,-0.0020614591504097834,0.011402668836642487,4.691208362579346,-0.0010296682656707604,미분해,0.5437167309244376
medium_2mm_r2,pair050,16,0.3,-0.020166905871670915,0.011685224068286206,5.824122428894043,-0.009982791923308554,미분해,0.5437167309244376
medium_2mm_r2,pair050,8,0.1,,,,,접촉 없음,0.1359291827311094
medium_2mm_r2,pair050,8,0.2,,,,,접촉 없음,0.1359291827311094
medium_2mm_r2,pair050,8,0.3,,,,,접촉 없음,0.1359291827311094
medium_3mm_r1,pair050,1920,0.1,0.16361669490319397,0.21224973922225723,0.8146336674690247,0.08909724590126834,신호부족,6768.624440645542
