t,Fx,Fy,Fz,Tx,Ty,Tz
1788791884.283749,0.00444,0.01274,-0.76141,5e-05,-0.00045,-0.00018
1788791884.304002,0.00792,0.0132,-0.76881,-8e-05,-0.00052,-2e-05
1788791884.323214,0.00288,0.01332,-0.79614,8e-05,-0.00044,0.0001
1788791884.343804,0.00433,0.01415,-0.78741,0.00012,-0.00046,-5e-05
1788791884.364033,0.00038,0.0129,-0.78761,0.0002,-0.00032,-0.00011
1788791884.383069,0.00271,0.01319,-0.76757,3e-05,-0.00035,-0.00015
1788791884.403859,0.00206,0.01228,-0.7698,-0.00021,-0.00052,-0.00012
1788791884.423441,0.00292,0.01651,-0.80408,0.00011,-0.00029,-0.0001
1788791884.444010,0.00525,0.01653,-0.79863,-0.00015,-0.00056,1e-05
1788791884.463084,0.00495,0.01245,-0.79665,-8e-05,-0.0004,-0.0001
1788791884.483369,0.00121,0.01902,-0.82716,-0.0,-0.00032,6e-05
1788791884.503679,0.00177,0.01198,-0.82317,6e-05,-0.00042,0.0
1788791884.523932,0.00474,0.00987,-0.80509,9e-05,-0.00054,-0.00027
1788791884.543143,0.00358,0.01401,-0.82014,0.00016,-0.00042,-0.00018
1788791884.563313,0.00343,0.01547,-0.8167,0.00015,-0.00037,-0.00025
1788791884.583249,0.00364,0.01333,-0.80515,-6e-05,-0.0005,-0.0003
1788791884.603427,0.00639,0.01732,-0.83216,-0.00019,-0.00052,-6e-05
1788791884.623588,0.00279,0.01696,-0.84074,0.0001,-0.00032,-0.00011
1788791884.643908,0.0005,0.01911,-0.83057,-0.00015,-0.00046,-0.00028
1788791884.664045,0.00902,0.01497,-0.87303,8e-05,-0.00041,-4e-05
1788791884.683324,0.0048,0.01877,-0.83849,-0.00019,-0.00051,-0.00014
1788791884.703626,0.00214,0.01947,-0.85803,-9e-05,-0.00032,-0.00011
